BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7923,0.7920,0.7920,0.7919,0.7916,0.7719,0.7959,0.7959,0.7920,0.7920,0.7910
0.0001,0.7923,0.7920,0.7920,0.7919,0.7916,0.7720,0.7959,0.7959,0.7920,0.7920,0.7910
0.0010,0.7924,0.7920,0.7922,0.7919,0.7917,0.7724,0.7959,0.7959,0.7922,0.7920,0.7911
0.0100,0.7929,0.7922,0.7929,0.7919,0.7915,0.7753,0.7953,0.7957,0.7928,0.7921,0.7905
0.1000,0.7782,0.7792,0.7777,0.7779,0.7765,0.7732,0.7818,0.7826,0.7797,0.7764,0.7756
0.2000,0.7662,0.7663,0.7665,0.7666,0.7665,0.7666,0.7693,0.7697,0.7693,0.7666,0.7678
0.4000,0.7629,0.7628,0.7628,0.7628,0.7629,0.7629,0.7630,0.7632,0.7633,0.7628,0.7630
0.6000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
0.8000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
1.0000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
