BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7923,0.7924,0.7920,0.7919,0.7922,0.7951,0.7967,0.7969,0.7920,0.7920,0.7920
0.0001,0.7924,0.7925,0.7920,0.7919,0.7922,0.7951,0.7966,0.7969,0.7920,0.7920,0.7920
0.0010,0.7924,0.7922,0.7921,0.7918,0.7923,0.7948,0.7961,0.7969,0.7920,0.7922,0.7917
0.0100,0.7935,0.7934,0.7922,0.7905,0.7924,0.7928,0.7944,0.7963,0.7929,0.7930,0.7902
0.1000,0.7804,0.7842,0.7771,0.7755,0.7723,0.7523,0.7737,0.7548,0.7734,0.7743,0.7676
0.2000,0.7438,0.7627,0.7312,0.7435,0.7177,0.6653,0.7036,0.6950,0.7044,0.7159,0.7155
0.4000,0.6555,0.7236,0.6686,0.7095,0.6580,0.5661,0.6132,0.6238,0.6001,0.6420,0.6693
0.6000,0.6013,0.7150,0.6723,0.7263,0.6737,0.5735,0.6159,0.6331,0.5774,0.6496,0.6911
0.8000,0.5191,0.6816,0.6543,0.7284,0.6741,0.5519,0.5851,0.6091,0.5198,0.6306,0.6950
1.0000,0.2373,0.2080,0.2080,0.2071,0.2373,0.2373,0.2080,0.2080,0.2080,0.2080,0.2364
