BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.7957,0.7513,0.7245,0.7091,0.6965,0.6836,0.6976,0.6854,0.6708,0.6616
0.0001,0.5902,0.5674,0.5548,0.5450,0.5252,0.5258,0.5281,0.5269,0.5271,0.5215,0.5280
0.0010,0.5226,0.4642,0.4624,0.4527,0.4490,0.4560,0.4501,0.4506,0.4508,0.4525,0.4497
0.0100,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
0.1000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
0.2000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
0.4000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
0.6000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
0.8000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
1.0000,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270,0.4270
