BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.8725,0.7837,0.7313,0.7049,0.6937,0.6690,0.6740,0.6623,0.6449,0.6383
0.0001,0.6888,0.6431,0.6179,0.5984,0.5587,0.5599,0.5645,0.5622,0.5625,0.5513,0.5643
0.0010,0.5535,0.4367,0.4332,0.4136,0.4064,0.4203,0.4084,0.4095,0.4099,0.4133,0.4077
0.0100,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.1000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.2000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.4000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.6000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
0.8000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
1.0000,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624
