BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.7952,0.7511,0.7242,0.7093,0.6959,0.6831,0.6975,0.6835,0.6702,0.6616
0.0001,0.9997,0.7950,0.7509,0.7240,0.7091,0.6957,0.6829,0.6972,0.6832,0.6701,0.6615
0.0010,0.9972,0.7929,0.7483,0.7216,0.7071,0.6929,0.6815,0.6948,0.6818,0.6684,0.6603
0.0100,0.9697,0.7693,0.7243,0.7007,0.6849,0.6716,0.6652,0.6743,0.6633,0.6507,0.6426
0.1000,0.7204,0.6045,0.5725,0.5767,0.5676,0.5601,0.5514,0.5566,0.5504,0.5417,0.5366
0.2000,0.5533,0.5271,0.5114,0.5195,0.5174,0.5129,0.5012,0.5050,0.5025,0.4981,0.4956
0.4000,0.4185,0.4693,0.4574,0.4636,0.4645,0.4676,0.4631,0.4712,0.4688,0.4708,0.4696
0.6000,0.3840,0.4425,0.4330,0.4304,0.4258,0.4407,0.4411,0.4514,0.4496,0.4492,0.4546
0.8000,0.3824,0.4255,0.4254,0.4124,0.4073,0.4229,0.4329,0.4366,0.4382,0.4359,0.4443
1.0000,0.4035,0.4194,0.4179,0.4073,0.4062,0.4041,0.4372,0.4378,0.4310,0.4333,0.4478
