BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.8725,0.7837,0.7313,0.7049,0.6937,0.6690,0.6740,0.6623,0.6449,0.6383
0.0001,0.9998,0.8723,0.7835,0.7310,0.7045,0.6934,0.6687,0.6737,0.6621,0.6448,0.6381
0.0010,0.9974,0.8699,0.7798,0.7273,0.7021,0.6891,0.6670,0.6709,0.6608,0.6425,0.6369
0.0100,0.9691,0.8388,0.7472,0.6977,0.6725,0.6597,0.6470,0.6475,0.6394,0.6185,0.6122
0.1000,0.7213,0.6306,0.5623,0.5615,0.5461,0.5411,0.5251,0.5384,0.5270,0.5109,0.5082
0.2000,0.5525,0.5312,0.4949,0.5011,0.4907,0.4923,0.4757,0.4915,0.4832,0.4771,0.4731
0.4000,0.4118,0.4448,0.4197,0.4295,0.4246,0.4283,0.4303,0.4477,0.4426,0.4469,0.4450
0.6000,0.3722,0.3996,0.3794,0.3913,0.3826,0.3897,0.3912,0.4109,0.4082,0.4064,0.4181
0.8000,0.3731,0.3745,0.3704,0.3781,0.3651,0.3766,0.3713,0.3796,0.3847,0.3782,0.3959
1.0000,0.4047,0.3673,0.3605,0.3754,0.3598,0.3690,0.3684,0.3734,0.3613,0.3590,0.3916
