BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.7961,0.7517,0.7249,0.7095,0.6969,0.6840,0.6980,0.6859,0.6712,0.6619
0.0001,0.9997,0.7956,0.7512,0.7244,0.7092,0.6965,0.6840,0.6975,0.6855,0.6712,0.6616
0.0010,0.9963,0.7924,0.7483,0.7208,0.7061,0.6922,0.6823,0.6938,0.6834,0.6689,0.6597
0.0100,0.9605,0.7504,0.7096,0.6827,0.6745,0.6561,0.6549,0.6595,0.6519,0.6425,0.6334
0.1000,0.6681,0.5546,0.5485,0.5363,0.5394,0.5359,0.5300,0.5314,0.5344,0.5335,0.5273
0.2000,0.5249,0.4814,0.4860,0.4781,0.4775,0.4751,0.4677,0.4717,0.4800,0.4841,0.4806
0.4000,0.4274,0.4295,0.4353,0.4290,0.4312,0.4221,0.4158,0.4206,0.4313,0.4307,0.4333
0.6000,0.4058,0.4182,0.4228,0.4142,0.4199,0.4086,0.4019,0.4080,0.4140,0.4136,0.4194
0.8000,0.3863,0.4099,0.4134,0.4068,0.4095,0.3981,0.3924,0.3961,0.4054,0.4023,0.4113
1.0000,0.3126,0.3355,0.3336,0.3288,0.3390,0.3383,0.3205,0.3299,0.3246,0.3219,0.3300
