BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.8725,0.7837,0.7313,0.7049,0.6937,0.6690,0.6740,0.6623,0.6449,0.6383
0.0001,0.9996,0.8717,0.7827,0.7303,0.7042,0.6928,0.6689,0.6733,0.6616,0.6448,0.6379
0.0010,0.9952,0.8658,0.7771,0.7231,0.6978,0.6844,0.6653,0.6677,0.6577,0.6403,0.6343
0.0100,0.9477,0.7985,0.7149,0.6601,0.6439,0.6236,0.6173,0.6233,0.6109,0.5997,0.5871
0.1000,0.5898,0.4940,0.4812,0.4534,0.4621,0.4567,0.4443,0.4476,0.4478,0.4454,0.4309
0.2000,0.4488,0.4107,0.4208,0.4007,0.4044,0.4084,0.3937,0.4026,0.4051,0.4118,0.4045
0.4000,0.3782,0.3806,0.3924,0.3795,0.3881,0.3925,0.3766,0.3849,0.3840,0.3833,0.3885
0.6000,0.3755,0.3804,0.3881,0.3730,0.3905,0.3891,0.3702,0.3804,0.3708,0.3731,0.3829
0.8000,0.3717,0.3818,0.3853,0.3750,0.3906,0.3897,0.3711,0.3757,0.3695,0.3686,0.3836
1.0000,0.3585,0.3817,0.3823,0.3744,0.3917,0.3908,0.3650,0.3744,0.3648,0.3653,0.3827
