BERs,  rsdt0, rsdt5, rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.8692,0.8283,0.8003,0.8014,0.7843,0.7864,0.7758,0.7692,0.7624,0.7736
0.0001,1.0000,0.8694,0.8284,0.8004,0.8010,0.7842,0.7861,0.7753,0.7690,0.7623,0.7727
0.0010,0.9995,0.8676,0.8267,0.7975,0.7994,0.7808,0.7854,0.7730,0.7677,0.7608,0.7699
0.0100,0.9906,0.8471,0.8075,0.7812,0.7834,0.7635,0.7615,0.7531,0.7481,0.7422,0.7389
0.1000,0.8569,0.7403,0.7166,0.7012,0.7039,0.6970,0.6838,0.6806,0.6726,0.6713,0.6649
0.2000,0.7644,0.6912,0.6860,0.6728,0.6805,0.6781,0.6582,0.6645,0.6544,0.6526,0.6513
0.4000,0.6974,0.6639,0.6622,0.6569,0.6654,0.6609,0.6398,0.6493,0.6380,0.6363,0.6411
0.6000,0.6736,0.6502,0.6479,0.6456,0.6533,0.6490,0.6259,0.6360,0.6244,0.6226,0.6277
0.8000,0.6495,0.6320,0.6282,0.6269,0.6318,0.6276,0.6053,0.6133,0.6012,0.5991,0.6060
1.0000,0.6062,0.6003,0.5912,0.5896,0.5957,0.5893,0.5685,0.5713,0.5618,0.5562,0.5625
