BERs,n_split,crt_split,n_fval,crt_fval,n_fidx,crt_fidx,n_chidx,crt_chidx
0.00001,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.0001,1.0000,1.0000,1.0000,1.0000,1.0000,1.0017,0.9898,1.0000
0.0010,1.0000,1.0000,1.0017,1.0051,0.9982,1.0068,0.6390,1.0000
0.0100,1.0199,1.0000,1.0051,1.0086,0.9931,1.0051,0.3729,1.0000
0.1000,0.6200,0.9600,0.8551,0.9379,0.8069,0.8879,0.3729,1.0000
0.2000,0.5400,0.5600,0.5845,0.6758,0.4431,0.5586,0.3729,1.0000
0.4000,0.4600,0.5000,0.4000,0.3793,0.3793,0.3810,0.3729,1.0000
0.6000,0.4400,0.4400,0.3776,0.3672,0.3793,0.3793,0.3729,1.0000
0.8000,0.4400,0.4400,0.3776,0.3793,0.3793,0.3793,0.3729,1.0000
1.0000,0.4400,0.4400,0.3793,0.3793,0.3793,0.37930.3729,1.0000
