BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9000,0.9000,0.9000,0.8000,0.8200,0.8200,0.8000,0.7800,0.9000,0.8000
0.0001,0.9999,0.9001,0.9002,0.8992,0.7997,0.8199,0.8198,0.7997,0.7794,0.8993,0.8003
0.0010,0.9992,0.9005,0.8999,0.8938,0.7984,0.8182,0.8183,0.7958,0.7753,0.8927,0.8043
0.0100,0.9893,0.8898,0.8762,0.8327,0.7678,0.8010,0.7884,0.7578,0.7464,0.8098,0.8140
0.1000,0.6751,0.5676,0.5168,0.5289,0.5272,0.4791,0.4991,0.4821,0.4792,0.4498,0.4858
0.2000,0.4546,0.4205,0.4008,0.4142,0.4118,0.3916,0.4031,0.3959,0.3984,0.3916,0.3945
0.4000,0.3757,0.3776,0.3794,0.3782,0.3802,0.3796,0.3792,0.3803,0.3795,0.3795,0.3799
0.6000,0.3790,0.3795,0.3800,0.3787,0.3798,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
0.8000,0.3798,0.3800,0.3800,0.3796,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
