BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9400,0.8400,0.8400,0.9400,0.8400,0.7400,0.7800,0.7400,0.9000,0.8000
0.0001,1.0000,0.9397,0.8400,0.8399,0.9395,0.8404,0.7399,0.7798,0.7406,0.8995,0.7999
0.0010,0.9997,0.9394,0.8385,0.8392,0.9362,0.8418,0.7388,0.7793,0.7400,0.8942,0.7966
0.0100,0.9950,0.9175,0.8274,0.8246,0.8966,0.8402,0.7179,0.7507,0.7274,0.8395,0.7717
0.1000,0.7394,0.6386,0.6006,0.4786,0.5056,0.5167,0.4137,0.4594,0.4593,0.4884,0.4898
0.2000,0.4930,0.5044,0.4747,0.3898,0.3937,0.3967,0.3821,0.3969,0.3890,0.3989,0.4090
0.4000,0.3865,0.4024,0.3975,0.3800,0.3800,0.3800,0.3800,0.3809,0.3802,0.3802,0.3839
0.6000,0.3802,0.3816,0.3834,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3804
0.8000,0.3800,0.3800,0.3801,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
