BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9800,0.8600,0.8400,0.8800,0.7800,0.7800,0.8400,0.8200,0.8200,0.7800
0.0001,1.0000,0.9800,0.8600,0.8400,0.8800,0.7800,0.7800,0.8400,0.8160,0.8200,0.7800
0.0010,1.0000,0.9800,0.8720,0.8440,0.8800,0.7840,0.7840,0.8440,0.8120,0.8240,0.7800
0.0100,0.9960,0.9760,0.8280,0.8480,0.8480,0.7760,0.7800,0.8600,0.7560,0.8000,0.7520
0.1000,0.7480,0.6120,0.4840,0.4880,0.5120,0.4560,0.4680,0.4720,0.4440,0.5040,0.4560
0.2000,0.5120,0.4680,0.3960,0.3880,0.4120,0.3920,0.3880,0.4080,0.3800,0.3840,0.3840
0.4000,0.3920,0.4080,0.3800,0.3800,0.3800,0.3800,0.3800,0.3880,0.3800,0.3800,0.3800
0.6000,0.3800,0.3760,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
0.8000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
