BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.5418,0.5297,0.3815,0.3723,0.2968,0.2677,0.2662,0.3026,0.2355,0.2353,0.3409
0.0001,0.5407,0.5291,0.3802,0.3712,0.2955,0.2666,0.2653,0.3010,0.2349,0.2342,0.3399
0.0010,0.5326,0.5248,0.3723,0.3572,0.2872,0.2559,0.2577,0.2901,0.2306,0.2267,0.3275
0.0100,0.4606,0.4658,0.3018,0.2604,0.2214,0.1865,0.2033,0.2085,0.1873,0.1714,0.2419
0.1000,0.1251,0.1295,0.0916,0.0715,0.0702,0.0677,0.0772,0.0615,0.0736,0.0670,0.0674
0.2000,0.0603,0.0632,0.0538,0.0504,0.0489,0.0482,0.0517,0.0471,0.0502,0.0502,0.0509
0.4000,0.0421,0.0426,0.0385,0.0407,0.0386,0.0414,0.0403,0.0422,0.0393,0.0399,0.0397
0.6000,0.0359,0.0372,0.0364,0.0368,0.0372,0.0388,0.0372,0.0398,0.0368,0.0385,0.0370
0.8000,0.0351,0.0368,0.0325,0.0366,0.0367,0.0363,0.0339,0.0400,0.0361,0.0350,0.0365
1.0000,0.0277,0.0361,0.0206,0.0300,0.0309,0.0309,0.0283,0.0368,0.0303,0.0279,0.0300
