BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7923,0.7919,0.7920,0.7914,0.7773,0.7912,0.7910,0.7920,0.7920,0.7920,0.7969
0.0001,0.7923,0.7919,0.7920,0.7914,0.7776,0.7911,0.7909,0.7920,0.7921,0.7920,0.7970
0.0010,0.7922,0.7919,0.7921,0.7909,0.7774,0.7913,0.7911,0.7928,0.7922,0.7920,0.7966
0.0100,0.7929,0.7921,0.7929,0.7895,0.7845,0.7918,0.7889,0.7930,0.7929,0.7917,0.7956
0.1000,0.7821,0.7851,0.7726,0.7780,0.7829,0.7538,0.7668,0.7564,0.7755,0.7697,0.7727
0.2000,0.7415,0.7633,0.7460,0.7509,0.7478,0.6551,0.7212,0.6704,0.7414,0.6892,0.7247
0.4000,0.6543,0.7298,0.6830,0.6892,0.7031,0.5290,0.6931,0.5688,0.7137,0.5788,0.6701
0.6000,0.6015,0.7269,0.6523,0.6765,0.7110,0.5016,0.7091,0.5775,0.7413,0.5640,0.6833
0.8000,0.5271,0.7173,0.5800,0.6428,0.7019,0.4362,0.7166,0.5284,0.7554,0.5010,0.6745
1.0000,0.2373,0.7636,0.2373,0.2373,0.7636,0.2373,0.2080,0.2373,0.7627,0.2080,0.2080
