BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7910,0.7913,0.7923,0.7921,0.7916,0.7912,0.7913,0.7910,0.7913,0.7910,0.7910
0.0001,0.7910,0.7913,0.7923,0.7921,0.7916,0.7912,0.7913,0.7910,0.7913,0.7910,0.7910
0.0010,0.7911,0.7913,0.7922,0.7921,0.7915,0.7912,0.7913,0.7910,0.7913,0.7910,0.7910
0.0100,0.7923,0.7917,0.7926,0.7921,0.7921,0.7914,0.7924,0.7920,0.7914,0.7916,0.7912
0.1000,0.7889,0.7933,0.7925,0.7923,0.7926,0.7881,0.7893,0.7817,0.7906,0.7900,0.7891
0.2000,0.7644,0.7762,0.7795,0.7736,0.7706,0.7521,0.7512,0.7045,0.7473,0.7526,0.7614
0.4000,0.6829,0.7346,0.7421,0.7077,0.6988,0.6698,0.6905,0.5614,0.6462,0.6573,0.7046
0.6000,0.6230,0.7353,0.7454,0.6837,0.6686,0.6470,0.7126,0.5474,0.6554,0.6397,0.7119
0.8000,0.5147,0.7264,0.7439,0.6310,0.5987,0.5779,0.7146,0.4815,0.6530,0.6025,0.7037
1.0000,0.2373,0.2364,0.2080,0.2373,0.2373,0.2080,0.2080,0.2373,0.2080,0.2373,0.2364
