BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7923,0.7919,0.7920,0.7922,0.7922,0.7715,0.7959,0.7969,0.7920,0.7920,0.7969
0.0001,0.7923,0.7919,0.7920,0.7922,0.7922,0.7716,0.7959,0.7969,0.7920,0.7920,0.7968
0.0010,0.7925,0.7921,0.7920,0.7922,0.7921,0.7719,0.7959,0.7967,0.7921,0.7920,0.7961
0.0100,0.7928,0.7923,0.7925,0.7919,0.7919,0.7753,0.7950,0.7954,0.7926,0.7918,0.7910
0.1000,0.7769,0.7771,0.7779,0.7783,0.7791,0.7738,0.7791,0.7802,0.7815,0.7721,0.7757
0.2000,0.7664,0.7656,0.7661,0.7663,0.7676,0.7669,0.7690,0.7694,0.7694,0.7659,0.7697
0.4000,0.7629,0.7629,0.7628,0.7628,0.7629,0.7629,0.7634,0.7630,0.7634,0.7628,0.7637
0.6000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
0.8000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
1.0000,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627,0.7627
