BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,1.0000,0.9600,0.8400,0.8800,0.8000,0.8800,0.8200,0.8400,0.7600,0.8000,0.8800
0.0001,1.0000,0.9600,0.8396,0.8792,0.8008,0.8804,0.8196,0.8388,0.7604,0.8004,0.8804
0.0010,0.9992,0.9596,0.8396,0.8804,0.8044,0.8784,0.8168,0.8340,0.7576,0.8016,0.8788
0.0100,0.9952,0.9524,0.8436,0.8632,0.8248,0.8672,0.7816,0.7976,0.7400,0.7620,0.8552
0.1000,0.7416,0.6132,0.5932,0.5260,0.4872,0.4800,0.4464,0.4736,0.4580,0.4544,0.4940
0.2000,0.4984,0.4564,0.4500,0.4296,0.3924,0.3900,0.3864,0.3876,0.3992,0.3900,0.3964
0.4000,0.3876,0.3860,0.3876,0.3904,0.3800,0.3800,0.3800,0.3800,0.3808,0.3800,0.3800
0.6000,0.3808,0.3800,0.3804,0.3808,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
0.8000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
1.0000,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800
