BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7920,0.7919,0.7920,0.7921,0.7917,0.7708,0.7969,0.7969,0.7920,0.7910,0.7920
0.0001,0.7920,0.7919,0.7920,0.7921,0.7918,0.7709,0.7969,0.7970,0.7920,0.7910,0.7920
0.0010,0.7920,0.7919,0.7920,0.7921,0.7919,0.7724,0.7965,0.7969,0.7920,0.7909,0.7921
0.0100,0.7921,0.7921,0.7920,0.7920,0.7934,0.7807,0.7944,0.7962,0.7927,0.7917,0.7923
0.1000,0.7927,0.7936,0.7928,0.7922,0.7941,0.7859,0.7905,0.7889,0.7897,0.7887,0.7905
0.2000,0.7717,0.7805,0.7773,0.7758,0.7780,0.7170,0.7622,0.7511,0.7369,0.7536,0.7569
0.4000,0.6875,0.7407,0.7345,0.7298,0.7332,0.5604,0.6849,0.6965,0.6305,0.6924,0.6913
0.6000,0.6123,0.7353,0.7299,0.7164,0.7370,0.5353,0.6850,0.7277,0.6547,0.7223,0.7121
0.8000,0.4777,0.7153,0.7203,0.6911,0.7388,0.4627,0.6602,0.7464,0.6495,0.7423,0.7230
1.0000,0.2373,0.2080,0.2080,0.2080,0.2080,0.2373,0.2080,0.7636,0.2080,0.2071,0.2080
