BERs,rsdt0,rsdt5,rsdt10,rsdt15,rsdt20,rsdt25,rsdt30,rsdt35,rsdt40,rsdt45,rsdt50
0.0000,0.7922,0.7911,0.7915,0.7916,0.7916,0.7913,0.7914,0.7910,0.7914,0.7909,0.7911
0.0001,0.7923,0.7911,0.7915,0.7916,0.7916,0.7913,0.7914,0.7910,0.7913,0.7909,0.7910
0.0010,0.7925,0.7911,0.7917,0.7916,0.7915,0.7912,0.7913,0.7911,0.7915,0.7909,0.7909
0.0100,0.7929,0.7913,0.7921,0.7920,0.7918,0.7920,0.7923,0.7907,0.7924,0.7912,0.7917
0.1000,0.7775,0.7821,0.7722,0.7854,0.7748,0.7487,0.7595,0.7430,0.7683,0.7692,0.7702
0.2000,0.7349,0.7535,0.7179,0.7534,0.7366,0.6657,0.7017,0.6858,0.7180,0.7267,0.7334
0.4000,0.6504,0.6969,0.6434,0.6748,0.6838,0.5725,0.6633,0.6542,0.6656,0.6844,0.7109
0.6000,0.6111,0.6844,0.6252,0.6375,0.6851,0.5486,0.7016,0.6904,0.6788,0.7033,0.7379
0.8000,0.5495,0.6578,0.5655,0.5704,0.6603,0.4731,0.7077,0.6950,0.6612,0.7012,0.7460
1.0000,0.2373,0.2080,0.2373,0.2373,0.2080,0.2373,0.2071,0.2080,0.2080,0.2080,0.7636
